PPID,Day,Reported,Estimated,PropPos
13,10,21,0.939720009,1
13,10,17,0.885794203,1
13,10,15,0.966903189,1
13,10,3,0.50157052,1
13,10,2,0.50157052,1
13,10,12,0.087967918,0
13,10,38,0.966903189,1
13,10,30,0.966903189,1
13,10,16,0.838175618,1
13,10,-12,0.126418574,0.5
13,10,4,0.838175618,1
13,11,15,0.50157052,1
13,11,6,0.267426431,0.5
13,11,-1,0.50157052,1
13,11,13,0.939720009,1
13,11,14,0.870725557,1
13,12,-6,0.087967918,0
13,12,24,0.966903189,1
13,13,16,0.966903189,1
13,13,7,0.877860753,1
13,13,10,0.905711426,0.666666667
13,13,21,0.922218274,1
13,13,23,0.966903189,1
13,13,15,0.966903189,1
13,13,-21,0.925067014,1
13,13,-6,0.265093721,0
13,14,16,0.966903189,1
13,14,26,0.927403182,1
13,14,16,0.939720009,1
13,14,-5,0.838175618,1
